nome_produto;preco_atual;preco_antigo;link_produto;cod_ean
DESODORANTE AEROSSOL DOVE FEMININO INVISIBLE DRY 150ML;R$16,10;R$18,94;https://www.ultrafarma.com.br/desodorante-aerosol-dove-feminino-invisible-dry-com-89-gramas;7506306241176
DESODORANTE AEROSSOL REXONA FEMININO ANTIBACTERIAL INVISIBLE 150ML;R$15,00;R$17,65;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-feminino-antibacterial-invisible-com-150ml;7506306244177
DESODORANTE AEROSSOL ABOVE COUNTRY MASCULINO 150ML;R$9,65;R$12,06;https://www.ultrafarma.com.br/desodorante-aerosol-above-country-masculino-150ml;7899674017086
DESODORANTE AEROSOL NIVEA FEMININO INVISIBLE BLACK AND WHITE FRESH 150ML;R$15,63;R$17,37;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-feminino-invisible-black-and-white-fresh-150ml;4005900429643
DESODORANTE ROLL ON NIVEA MASCULINO INVISIBLE BLACK AND WHITE POWER 50ML;R$8,32;R$9,79;https://www.ultrafarma.com.br/desodorante-roll-on-nivea-masculino-invisible-black-and-white-power-com-50ml;4005900036759
DESODORANTE AEROSOL MONANGE PROTEÇÃO SECA 150ML;R$10,40;R$11,56;https://www.ultrafarma.com.br/desodorante-aerosol-monange-protecao-seca-150ml;7896235353911
DESODORANTE AEROSOL NIVEA MASCULINO DEEP CARVÃO ATIVADO AMADEIRADO 48H 150ML;R$14,47;R$16,08;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-masculino-deep-carvao-ativado-amadeirado-48h-150ml;4005900707543
DESODORANTE AEROSOL MONANGE DETOX FRESH 150ML;R$10,40;R$11,56;https://www.ultrafarma.com.br/desodorante-aerosol-monange-detox-fresh-150ml;7896235353904
DESODORANTE AEROSSOL MONANGE SENSÍVEL 150ML;R$10,40;R$11,56;https://www.ultrafarma.com.br/desodorante-aerosol-monange-sensivel-com-150ml;7891350034615
DESODORANTE DOVE MEN CARE CUIDADO TOTAL CLINICAL 150ML;R$17,47;R$20,55;https://www.ultrafarma.com.br/desodorante-dove-men-care-cuidado-total-clinical-150ml;7891150073081
DESODORANTE AEROSSOL ANTITRASPIRANTE AXE URBAN ANTI MANCHAS 150ML;R$12,20;R$14,35;https://www.ultrafarma.com.br/desodorante-aerosol-axe-urban-anti-manchas-com-90g;7506306233362
DESODORANTE CLINIC WOMAN 150ML COMPRE 2UN - GANHE ESPONJA;R$19,80;R$45,00;https://www.ultrafarma.com.br/desodorante-clinic-woman-150ml-compre-2un-ganhe-esponja;
DESODORANTE AEROSOL BIS HERBÍSSIMO MASCULINO GREEN LEAF 150ML;R$11,56;R$12,84;https://www.ultrafarma.com.br/desodorante-aerosol-bis-herbissimo-masculino-green-leaf-com-150ml;7896049527775
